,,,,,,,
,HELM — Meeting Tracker,,,,"Last week: Mar 23 – Mar 29   ·   This week: Mar 30 – Apr 5, 2026",,
,Tue Mar 31,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Tue Mar 31,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Wed Apr 1,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Wed Apr 1,All Hands – Process Improvement,Josh,9:30 AM,Whole Team,,
,Wed Apr 1,All Hands – Process Improvement,Jamie,8:30 AM,Whole Team,,
,Wed Apr 1,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Wed Apr 1,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Wed Apr 1,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Wed Apr 1,Monthly Staffer Check-In,Regina,Varies,1-on-1 with staffers,,
,Wed Apr 1,Sourcers Check-In,Josh,11:00 AM,Sourcers,,
,Thu Apr 2,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Thu Apr 2,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Thu Apr 2,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Thu Apr 2,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Thu Apr 2,Huddle,Bonita,9:45 AM,"Josh, Regina, Bonita",,
,Thu Apr 2,Weekly Roundtable,Regina,10:00 AM,"Regina, Josh",,
,Fri Apr 3,A.M. Agenda,Jamie,—,"Josh, Jamie",,
,Fri Apr 3,Bonita | Josh – Daily Call,Bonita,—,"Josh, Bonita",,
,Fri Apr 3,Complete Marketing Metrics,Bonita,—,Bonita,,
,Fri Apr 3,Daily Call – Asana Board,Regina & Josh,Floating,"Regina, Josh",,
,Fri Apr 3,Daily Recruiter Catch Up,Bonita,10:00 AM,"Bonita, Sapna, Joe, Julio",,
,Fri Apr 3,Sourcers Check-In,Josh,11:00 AM,Sourcers,,
,Fri Apr 3,Weekly Check-In with Ahmed,Regina,12:30 PM,Regina & Ahmed,,
,,,,,,,
,,,,,,,
,Legend:,● Happened,,● Didn't Happen,,● Future / no status,
